Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Segment,Country,City,Region,Product_ID,Category,Sub_Category,Product_Name,Sales
23,IN-2017-137330,09-12-2017,13-12-2017,Standard Class,KB-16585,Corporate,India,Delhi,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4 Cord Length",60.34
24,IN-2018-156909,16-07-2018,18-07-2018,Second Class,SF-20065,Consumer,India,Delhi,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372
25,IN-2016-106320,25-09-2016,30-09-2016,Standard Class,EB-13870,Consumer,India,Delhi,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63
26,IN-2017-121755,16-01-2017,20-01-2017,Second Class,EH-13945,Consumer,India,Delhi,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648
27,IN-2017-121755,16-01-2017,20-01-2017,Second Class,EH-13945,Consumer,India,Delhi,West,TEC-AC-10003027,Technology,Accessories,Imation�8GB Mini TravelDrive USB 2.0�Flash Drive,90.57
28,IN-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,Consumer,India,Delhi,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43
29,IN-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,Consumer,India,Delhi,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618
30,IN-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,Consumer,India,Delhi,East,FUR-FU-10004848,Furniture,Furnishings,Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock,124.2
31,IN-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,Consumer,India,Delhi,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264
32,IN-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,Consumer,India,Delhi,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304
33,IN-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,Consumer,India,Delhi,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8 x 11, Executive Red",6.858
34,IN-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,Consumer,India,Delhi,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76
35,IN-2018-107727,19-10-2018,23-10-2018,Second Class,MA-17560,Home Office,India,Delhi,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472
36,IN-2017-117590,08-12-2017,10-12-2017,First Class,GH-14485,Corporate,India,Delhi,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544
37,IN-2017-117590,08-12-2017,10-12-2017,First Class,GH-14485,Corporate,India,Delhi,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architects Clamp-On Swing Arm Lamp, Black",190.92
38,IN-2016-117415,27-12-2016,31-12-2016,Standard Class,SN-20710,Home Office,India,Delhi,Central,OFF-EN-10002986,Office Supplies,Envelopes,#10-4 1/8 x 9 1/2 Premium Diagonal Seam Envelopes,113.328
39,IN-2016-117415,27-12-2016,31-12-2016,Standard Class,SN-20710,Home Office,India,Delhi,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992
40,IN-2016-117415,27-12-2016,31-12-2016,Standard Class,SN-20710,Home Office,India,Delhi,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Managers Chair, Dark Gray",212.058
41,IN-2016-117415,27-12-2016,31-12-2016,Standard Class,SN-20710,Home Office,India,Delhi,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168
42,IN-2018-120999,10-09-2018,15-09-2018,Standard Class,LC-16930,Corporate,India,Delhi,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168
43,IN-2017-101343,17-07-2017,22-07-2017,Standard Class,RA-19885,Corporate,India,Delhi,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88
44,IN-2018-139619,19-09-2018,23-09-2018,Standard Class,ES-14080,Corporate,India,Delhi,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616
45,IN-2017-118255,11-03-2017,13-03-2017,First Class,ON-18715,Corporate,India,Delhi,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98
46,IN-2017-118255,11-03-2017,13-03-2017,First Class,ON-18715,Corporate,India,Delhi,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46
47,IN-2015-146703,20-10-2015,25-10-2015,Second Class,PO-18865,Consumer,India,Delhi,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96
48,IN-2017-169194,20-06-2017,25-06-2017,Standard Class,LH-16900,Consumer,India,Delhi,East,TEC-AC-10002167,Technology,Accessories,Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive,45
49,IN-2017-169194,20-06-2017,25-06-2017,Standard Class,LH-16900,Consumer,India,Delhi,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8
50,IN-2016-115742,18-04-2016,22-04-2016,Standard Class,DP-13000,Consumer,India,Delhi,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22
51,IN-2016-115742,18-04-2016,22-04-2016,Standard Class,DP-13000,Consumer,India,Delhi,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18
52,IN-2016-115742,18-04-2016,22-04-2016,Standard Class,DP-13000,Consumer,India,Delhi,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16
53,IN-2016-115742,18-04-2016,22-04-2016,Standard Class,DP-13000,Consumer,India,Delhi,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99
54,IN-2017-105816,11-12-2017,17-12-2017,Standard Class,JM-15265,Corporate,India,Delhi,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26
55,IN-2017-105816,11-12-2017,17-12-2017,Standard Class,JM-15265,Corporate,India,Delhi,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95
56,IN-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,Consumer,India,Delhi,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56
57,IN-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,Consumer,India,Delhi,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4
58,IN-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,Consumer,India,Delhi,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41
59,IN-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,Consumer,India,Delhi,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56
60,IN-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,Consumer,India,Delhi,East,TEC-AC-10002167,Technology,Accessories,Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive,30
61,IN-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,Consumer,India,Delhi,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48
62,IN-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,Consumer,India,Delhi,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68
63,IN-2016-135545,24-11-2016,30-11-2016,Standard Class,KM-16720,Consumer,India,Delhi,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98
64,IN-2016-135545,24-11-2016,30-11-2016,Standard Class,KM-16720,Consumer,India,Delhi,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8 X 11",25.824
65,IN-2016-135545,24-11-2016,30-11-2016,Standard Class,KM-16720,Consumer,India,Delhi,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73
66,IN-2016-135545,24-11-2016,30-11-2016,Standard Class,KM-16720,Consumer,India,Delhi,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76
67,IN-2016-164175,30-04-2016,05-05-2016,Standard Class,PS-18970,Home Office,India,Delhi,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Managers Chair, Gray",213.115
68,IN-2015-106376,05-12-2015,10-12-2015,Standard Class,BS-11590,Corporate,India,Delhi,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024
69,IN-2015-106376,05-12-2015,10-12-2015,Standard Class,BS-11590,Corporate,India,Delhi,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968
70,IN-2017-119823,04-06-2017,06-06-2017,First Class,KD-16270,Consumer,India,Delhi,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88
71,IN-2017-106075,18-09-2017,23-09-2017,Standard Class,HM-14980,Consumer,India,Delhi,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616
72,IN-2018-114440,14-09-2018,17-09-2018,Second Class,TB-21520,Consumer,India,Delhi,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2 x 3 3/16",19.05
73,IN-2016-134026,26-04-2016,02-05-2016,Standard Class,JE-15745,Consumer,India,Delhi,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Managers Chair,831.936
74,IN-2016-134026,26-04-2016,02-05-2016,Standard Class,JE-15745,Consumer,India,Delhi,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36 x 48",97.04
75,IN-2016-134026,26-04-2016,02-05-2016,Standard Class,JE-15745,Consumer,India,Delhi,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784
76,IN-2018-118038,09-12-2018,11-12-2018,First Class,KB-16600,Corporate,India,Delhi,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248
77,IN-2018-118038,09-12-2018,11-12-2018,First Class,KB-16600,Corporate,India,Delhi,Central,FUR-FU-10000260,Furniture,Furnishings,"6 Cubicle Wall Clock, Black",9.708
78,IN-2018-118038,09-12-2018,11-12-2018,First Class,KB-16600,Corporate,India,Delhi,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24
79,IN-2015-147606,26-11-2015,01-12-2015,Second Class,JE-15745,Consumer,India,Delhi,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3
80,IN-2017-127208,12-06-2017,15-06-2017,First Class,SC-20770,Corporate,India,Delhi,South,OFF-AP-10002118,Office Supplies,Appliances,1.7 Cubic Foot Compact Cube Office Refrigerators,208.16
81,IN-2017-127208,12-06-2017,15-06-2017,First Class,SC-20770,Corporate,India,Delhi,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74
82,IN-2015-139451,12-10-2015,16-10-2015,Standard Class,DN-13690,Consumer,India,Delhi,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9
83,IN-2015-139451,12-10-2015,16-10-2015,Standard Class,DN-13690,Consumer,India,Delhi,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39
84,IN-2016-149734,03-09-2016,08-09-2016,Standard Class,JC-16105,Corporate,India,Delhi,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel N Seal Padded Mailers,200.984
85,IN-2018-119662,13-11-2018,16-11-2018,First Class,CS-12400,Home Office,India,Delhi,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376
86,IN-2018-140088,28-05-2018,30-05-2018,Second Class,PO-18865,Consumer,India,Delhi,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96
87,IN-2018-155558,26-10-2018,02-11-2018,Standard Class,PG-18895,Consumer,India,Delhi,Central,TEC-AC-10001998,Technology,Accessories,Logitech�LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99
88,IN-2018-155558,26-10-2018,02-11-2018,Standard Class,PG-18895,Consumer,India,Delhi,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16
89,IN-2017-159695,05-04-2017,10-04-2017,Second Class,GM-14455,Home Office,India,Delhi,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368
90,IN-2017-109806,17-09-2017,22-09-2017,Standard Class,JS-15685,Corporate,India,Delhi,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1
91,IN-2017-109806,17-09-2017,22-09-2017,Standard Class,JS-15685,Corporate,India,Delhi,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584
92,IN-2017-109806,17-09-2017,22-09-2017,Standard Class,JS-15685,Corporate,India,Delhi,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48
93,IN-2016-149587,31-01-2016,05-02-2016,Second Class,KB-16315,Consumer,India,Delhi,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96
94,IN-2016-149587,31-01-2016,05-02-2016,Second Class,KB-16315,Consumer,India,Delhi,Central,FUR-FU-10003799,Furniture,Furnishings,Seth Thomas 13 1/2 Wall Clock,53.34
95,IN-2016-149587,31-01-2016,05-02-2016,Second Class,KB-16315,Consumer,India,Delhi,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96
96,IN-2018-109484,06-11-2018,12-11-2018,Standard Class,RB-19705,Home Office,India,Delhi,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682
97,IN-2018-161018,09-11-2018,11-11-2018,Second Class,PN-18775,Home Office,India,Delhi,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53
98,IN-2018-157833,17-06-2018,20-06-2018,First Class,KD-16345,Consumer,India,Delhi,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312
99,IN-2017-149223,06-09-2017,11-09-2017,Standard Class,ER-13855,Corporate,India,Delhi,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88
100,IN-2017-158568,29-08-2017,02-09-2017,Standard Class,RB-19465,Home Office,India,Delhi,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624
101,IN-2017-158568,29-08-2017,02-09-2017,Standard Class,RB-19465,Home Office,India,Delhi,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976
102,IN-2017-158568,29-08-2017,02-09-2017,Standard Class,RB-19465,Home Office,India,Delhi,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788
103,IN-2017-129903,01-12-2017,04-12-2017,Second Class,GZ-14470,Consumer,India,Delhi,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92
104,IN-2016-156867,13-11-2016,17-11-2016,Standard Class,LC-16870,Consumer,India,Delhi,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896
105,IN-2016-156867,13-11-2016,17-11-2016,Standard Class,LC-16870,Consumer,India,Delhi,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36
106,IN-2016-156867,13-11-2016,17-11-2016,Standard Class,LC-16870,Consumer,India,Delhi,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3 Capacity, Black, 1040 sheets",36.882
107,IN-2018-119004,23-11-2018,28-11-2018,Standard Class,JM-15250,Consumer,India,Delhi,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112
108,IN-2018-119004,23-11-2018,28-11-2018,Standard Class,JM-15250,Consumer,India,Delhi,South,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992
109,IN-2018-119004,23-11-2018,28-11-2018,Standard Class,JM-15250,Consumer,India,Delhi,South,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.304
110,IN-2016-129476,15-10-2016,20-10-2016,Standard Class,PA-19060,Home Office,India,Delhi,Central,TEC-AC-10000844,Technology,Accessories,Logitech�Gaming G510s - Keyboard,339.96
111,IN-2018-146780,25-12-2018,30-12-2018,Standard Class,CV-12805,Corporate,India,Delhi,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96
112,IN-2017-128867,03-11-2017,10-11-2017,Standard Class,CL-12565,Consumer,India,Delhi,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96
113,IN-2017-128867,03-11-2017,10-11-2017,Standard Class,CL-12565,Consumer,India,Delhi,Central,OFF-BI-10003981,Office Supplies,Binders,Avery Durable Plastic 1 Binders,27.24
114,IN-2015-115259,25-08-2015,27-08-2015,Second Class,RC-19960,Consumer,India,Delhi,East,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096
115,IN-2015-115259,25-08-2015,27-08-2015,Second Class,RC-19960,Consumer,India,Delhi,East,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72
116,IN-2015-115259,25-08-2015,27-08-2015,Second Class,RC-19960,Consumer,India,Delhi,East,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,23.976
117,IN-2015-115259,25-08-2015,27-08-2015,Second Class,RC-19960,Consumer,India,Delhi,East,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464
118,IN-2016-110457,02-03-2016,06-03-2016,Standard Class,DK-13090,Consumer,India,Delhi,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53
119,IN-2016-136476,05-04-2016,10-04-2016,Standard Class,GG-14650,Corporate,India,Delhi,South,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794
120,IN-2017-103730,12-06-2017,15-06-2017,First Class,SC-20725,Consumer,India,Delhi,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04
121,IN-2017-103730,12-06-2017,15-06-2017,First Class,SC-20725,Consumer,India,Delhi,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84
122,IN-2017-103730,12-06-2017,15-06-2017,First Class,SC-20725,Consumer,India,Delhi,East,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56
123,IN-2017-103730,12-06-2017,15-06-2017,First Class,SC-20725,Consumer,India,Delhi,East,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02
124,IN-2017-103730,12-06-2017,15-06-2017,First Class,SC-20725,Consumer,India,Delhi,East,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04
125,IN-2015-152030,26-12-2015,28-12-2015,Second Class,AD-10180,Home Office,India,Delhi,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Managers Chair,600.558
126,IN-2015-134614,20-09-2015,25-09-2015,Standard Class,PF-19165,Consumer,India,Delhi,Central,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7
127,IN-2018-107272,05-11-2018,12-11-2018,Standard Class,TS-21610,Consumer,India,Delhi,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388
128,IN-2018-107272,05-11-2018,12-11-2018,Standard Class,TS-21610,Consumer,India,Delhi,West,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992
129,IN-2017-125969,06-11-2017,10-11-2017,Second Class,LS-16975,Home Office,India,Delhi,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424
130,IN-2017-125969,06-11-2017,10-11-2017,Second Class,LS-16975,Home Office,India,Delhi,West,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56
131,IN-2018-164147,02-02-2018,05-02-2018,First Class,DW-13585,Corporate,India,Delhi,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97
132,IN-2018-164147,02-02-2018,05-02-2018,First Class,DW-13585,Corporate,India,Delhi,East,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304
133,IN-2018-164147,02-02-2018,05-02-2018,First Class,DW-13585,Corporate,India,Delhi,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples,21.456
134,IN-2017-145583,13-10-2017,19-10-2017,Standard Class,LC-16885,Consumer,India,Delhi,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,20.04
135,IN-2017-145583,13-10-2017,19-10-2017,Standard Class,LC-16885,Consumer,India,Delhi,West,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,35.44
136,IN-2017-145583,13-10-2017,19-10-2017,Standard Class,LC-16885,Consumer,India,Delhi,West,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52
137,IN-2017-145583,13-10-2017,19-10-2017,Standard Class,LC-16885,Consumer,India,Delhi,West,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,4.02
138,IN-2017-145583,13-10-2017,19-10-2017,Standard Class,LC-16885,Consumer,India,Delhi,West,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,76.176
139,IN-2017-145583,13-10-2017,19-10-2017,Standard Class,LC-16885,Consumer,India,Delhi,West,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88
140,IN-2017-145583,13-10-2017,19-10-2017,Standard Class,LC-16885,Consumer,India,Delhi,West,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12
